Player,League,Squad,Country,Position,Annualized Salary
I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,26230000
P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,10180000
Z. Iqbal,A,Fanatical Outlaws,Galamily,DF,27000000
F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,19740000
L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,27030000
S. Anyait,A,Fanatical Outlaws,People's Land of Maneau,DF,18960000
J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,8020000
I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DFFW,27600000
J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DFFW,23030000
D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,30120000
I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25950000
M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,FWDF,27750000
J. Akello,A,Fanatical Outlaws,Bernepamar,FWMF,29220000
I. Kamukama,A,Fanatical Outlaws,Lefghau,FWMF,34090000
W. Lew,A,Fanatical Outlaws,Nganion,FWMF,23090000
B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FWMF,27370000
D. John,A,Fanatical Outlaws,Pierrema,FWMF,32840000
S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,17580000
R. Chee,A,Fanatical Outlaws,Southslands,GK,5250000
F. Pop,A,Fanatical Outlaws,Galamily,MF,32160000
D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,21620000
I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,17300000
E. Taylor,A,Fanatical Outlaws,People's Land of Maneau,MFFW,32720000
H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,30700000
Q. Hor,A,Fighting Cougars,Byasier Pujan,DF,15100000
D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,17210000
G. Köhler,A,Fighting Cougars,People's Land of Maneau,DF,23440000
I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,27450000
K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,26350000
U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,15200000
Y. Rabinovitch,A,Fighting Cougars,Western Niasland,DF,15950000
R. Petrenko,A,Fighting Cougars,Lefghau,DFMF,18590000
D. Kikuchi,A,Fighting Cougars,Nkasland Cronestan,DFMF,19140000
Z. ?no,A,Fighting Cougars,People's Land of Maneau,DFMF,14730000
W. Nabatanzi,A,Fighting Cougars,Esia,FW,10230000
V. Taheri,A,Fighting Cougars,People's Land of Maneau,FW,28630000
R. binti Hassan,A,Fighting Cougars,Southslands,FW,18910000
K. Gonçalves,A,Fighting Cougars,Quewenia,FWDF,30370000
G. Bellini,A,Fighting Cougars,Buhegeor,FWMF,24400000
L. Wafula,A,Fighting Cougars,Dosqaly,FWMF,24770000
M. Hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,17540000
F. Cho,A,Fighting Cougars,Southern Ristan,FWMF,32370000
Z. Marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,22740000
P. Robinson,A,Fighting Cougars,Nganion,GK,22460000
I. Azulay,A,Fighting Cougars,Byasier Pujan,MF,21300000
H. Narvaez,A,Fighting Cougars,Reugha,MF,18780000
R. Matovu,A,Fighting Cougars,Southslands,MF,2620000
P. Chew,A,Fighting Cougars,Esia,MFDF,28480000
O. Kia,A,Fighting Cougars,Western Niasland,MFDF,23910000
Q. Nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,10780000
I. Ocen,A,Fighting Cougars,People's Land of Maneau,MFFW,28360000
D. Daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,13630000
F. Kembabazi,A,Great Galactic Gorgons,People's Land of Maneau,DF,18790000
F. Lieu,A,Great Galactic Gorgons,People's Land of Maneau,DF,3260000
H. Akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,18580000
I. Akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,20540000
T. Awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,17100000
T. Barigye,A,Great Galactic Gorgons,People's Land of Maneau,DF,15110000
U. Ban,A,Great Galactic Gorgons,People's Land of Maneau,DF,31340000
I. Najjemba,A,Great Galactic Gorgons,Southslands,DF,24550000
X. Nalukenge,A,Great Galactic Gorgons,Southslands,DF,25340000
I. binti Omar,A,Great Galactic Gorgons,Djipines,DFMF,20450000
M. Ludwig,A,Great Galactic Gorgons,Rarita,DFMF,11910000
R. Lambert,A,Great Galactic Gorgons,Ngoque Blicri,FW,26200000
Y. Susanti,A,Great Galactic Gorgons,Ngoque Blicri,FW,27640000
A. Schmitt,A,Great Galactic Gorgons,People's Land of Maneau,FW,26370000
U. Rodriguês,A,Great Galactic Gorgons,People's Land of Maneau,FW,34980000
W. Swee,A,Great Galactic Gorgons,People's Land of Maneau,FW,19550000
M. Nkhata,A,Great Galactic Gorgons,People's Land of Maneau,FWDF,24470000
G. Elbaz,A,Great Galactic Gorgons,Dosqaly,FWMF,30260000
H. Gomani,A,Great Galactic Gorgons,Southslands,FWMF,29870000
A. Soong,A,Great Galactic Gorgons,People's Land of Maneau,GK,25510000
A. Tayebwa,A,Great Galactic Gorgons,Dosqaly,MF,10690000
D. Kojima,A,Great Galactic Gorgons,Highhlaands,MF,31520000
A. Aryemo,A,Great Galactic Gorgons,Ngoque Blicri,MF,32610000
G. Gustafsson,A,Great Galactic Gorgons,People's Land of Maneau,MF,30720000
H. Susanto,A,Great Galactic Gorgons,Redohrainbri,MF,18810000
